,Unnamed: 0,Height,Width,Area,Perimeter,A/P,A/(A+P),A/(W*H),Diameter,Label
1965,97,72.2011080247388,24.20743687382041,1375.0,175.13708317279816,7.850992919891003,0.8870183256216734,0.7867015895879998,41.84141935942002,0
1966,98,69.6419413859206,18.973665961010283,1001.0,165.53910338878632,6.0469096395251345,0.8580938239379232,0.7575511429928103,35.70031910613542,0
1967,99,64.4980619863884,26.1725046566048,1288.5,163.29646289348602,7.890556703854967,0.8875211043233775,0.7632950954402821,40.50393997367735,0
1968,100,69.35416353759881,19.723082923316017,1055.5,159.92388010025024,6.600014952978548,0.8684213115122772,0.7716331886802114,36.659300858962986,0
1969,101,62.585940913275394,16.492422502470642,789.0,141.39696896076202,5.5800347475549446,0.8480251186558571,0.7643913527593715,31.695204697178454,0
1970,102,67.468511173732,20.615528128088304,860.0,193.19595777988437,4.4514388907651545,0.8165621921041765,0.6183051438445096,33.090572803628525,0
1971,103,72.11102550927978,22.02271554554524,1153.5,170.46803605556488,6.766664453293818,0.8712445984999515,0.7263485229858837,38.323384699841036,0
1972,104,73.24616030891995,21.2602916254693,1211.5,168.55129647254944,7.187722820021778,0.8778659192572251,0.7779816219990557,39.275051985282595,0
1973,105,78.63841300535,23.19482700948641,1393.5,181.2964632511139,7.686305485561855,0.884876257039063,0.7639784261082555,42.12195752322593,0
1974,106,68.24954212300622,18.439088914585774,901.0,155.96551072597504,5.776918216124202,0.8524403027882619,0.7159547757197464,33.87017611123954,0
1975,107,64.63745044476924,22.203603311174522,986.5,232.6934312582016,4.239483661682562,0.8091414985577283,0.6873681617094172,35.44080714206772,0
1976,108,65.37583651472461,20.09975124224178,1007.0,150.56854128837583,6.687984032941826,0.8699268890628344,0.7663400607621884,35.80715321759479,0
1977,109,68.96375859826666,21.95449840010015,1186.5,162.7523068189621,7.290219249056825,0.8793759284335249,0.7836520976984757,38.86770793124121,0
1978,110,64.47480127925947,21.93171219946131,1119.0,156.8528121709824,7.134076746932651,0.8770604174128184,0.7913480491945335,37.7459276023076,0
1979,111,66.64833081180653,20.591260281974,1046.5,155.09545290470126,6.7474576488262645,0.8709253996178347,0.7625477206826132,36.50267364954721,0
1980,112,71.55417527999327,23.706539182259394,1270.0,168.50966656208038,7.5366596226224285,0.882858161833,0.7486875007334157,40.21211536109058,0
1981,113,68.60029154456998,24.698178070456933,1316.0,166.65180134773252,7.896704322169665,0.8875988271850168,0.7767209340670839,40.933888660515436,0
1982,114,72.80109889280519,20.808652046684813,1160.0,168.30865502357486,6.892099517030302,0.8732910047773591,0.7657307826715507,38.43120960746342,0
